session	optimize	depth	controllers	survivors	episodes	noise	initial_value	variance	session_seed	game_seed	name	generation	type	game_num	repetition	landing_height	eroded_cells	row_trans	col_trans	pits	cuml_wells	landing_height_norm	eroded_cells_norm	row_trans_norm	col_trans_norm	pits_norm	cuml_wells_norm	landing_height_var	eroded_cells_var	row_trans_var	col_trans_var	pits_var	cuml_wells_var	lines	l1	l2	l3	l4	score	level	eps
2017-06-01_16-13-08	lines	80	100	10	-1	4	0	100	1496333588.2	NIL	G0	0	base	0	0	0	0	0	0	0	0	0	0	0	0	0	0	100	100	100	100	100	100								
2017-06-01_16-13-08	lines	80	100	10	-1	4	0	100	1496333588.2	7544	G1_1	1	search	1	1	-83.5940012039	72.6880245513	7.36654744157	-71.8860579472	143.486589484	-11.672329321	-0.582591038677	0.506584098294	0.0513396232222	-0.500994958522	1.0	-0.0813478762226							0	0	0	0	0	0	0	26
2017-06-01_16-13-08	lines	80	100	10	-1	4	0	100	1496333588.2	72374	G1_2	1	search	2	1	177.30044422	-363.605292799	42.3313283071	24.5136123422	111.904379502	-19.4386543509	0.487617886018	-1.0	0.116421100423	0.0674181944754	0.307763340409	-0.0534608674182							0	0	0	0	0	0	0	21
2017-06-01_16-13-08	lines	80	100	10	-1	4	0	100	1496333588.2	48479	G1_3	1	search	3	1	-23.6626054515	90.7087443733	-95.5542375733	-48.8826181409	-54.8347527891	-90.0039636227	-0.24763533311	0.949290650807	-1.0	-0.511569338863	-0.573859979229	-0.941914936569							40	34	3	0	0	4140	4	143
2017-06-01_16-13-08	lines	80	100	10	-1	4	0	100	1496333588.2	55019	G1_4	1	search	4	1	120.079328781	-25.3789238744	97.6133867506	118.758067186	15.3231351276	-30.5207938506	1.0	-0.211351313602	0.812907498246	0.988996760651	0.127608434217	-0.254171922515							0	0	0	0	0	0	0	28
2017-06-01_16-13-08	lines	80	100	10	-1	4	0	100	1496333588.2	70128	G1_5	1	search	5	1	64.0943822138	-56.8768343308	57.6645834033	29.6187225892	234.968524149	-20.5090021022	0.272778587881	-0.242061503926	0.245414076681	0.126054001047	1.0	-0.087284040177							0	0	0	0	0	0	0	26
2017-06-01_16-13-08	lines	80	100	10	-1	4	0	100	1496333588.2	57530	G1_6	1	search	6	1	116.177871964	-46.0474830952	-126.086950801	101.147945101	188.122794491	61.8094074683	0.617564034588	-0.244773543896	-0.67023749643	0.537669798996	1.0	0.328558841769							0	0	0	0	0	0	0	33
2017-06-01_16-13-08	lines	80	100	10	-1	4	0	100	1496333588.2	78216	G1_7	1	search	7	1	-76.0200044533	43.0307480779	167.301359744	-61.3926399569	104.271033709	-96.8955267025	-0.454389638971	0.257205011028	1.0	-0.36695840399	0.623252756997	-0.579167598225							0	0	0	0	0	0	0	24
2017-06-01_16-13-08	lines	80	100	10	-1	4	0	100	1496333588.2	36237	G1_8	1	search	8	1	-11.695546595	-46.2324887896	-113.392962013	-16.2331872363	-34.2515661225	-2.87990080204	-0.10314173285	-0.407719209101	-1.0	-0.143158684173	-0.302060776211	-0.0253975268916							139	113	13	0	0	43240	13	391
2017-06-01_16-13-08	lines	80	100	10	-1	4	0	100	1496333588.2	74953	G1_9	1	search	9	1	-206.95086569	-5.63510409118	-36.7852714642	-15.343307685	11.0093042829	-128.760627993	-1.0	-0.0272291883023	-0.177748816569	-0.0741398574676	0.0531976720476	-0.622179702237							16	16	0	0	0	880	1	83
2017-06-01_16-13-08	lines	80	100	10	-1	4	0	100	1496333588.2	10634	G1_10	1	search	10	1	208.652054935	-16.4123974239	-189.746111016	98.1852856773	-108.442059931	12.7805403132	1.0	-0.078659169827	-0.909390089997	0.470569464114	-0.519726776546	0.0612528849386							2	2	0	0	0	80	0	41
2017-06-01_16-13-08	lines	80	100	10	-1	4	0	100	1496333588.2	46165	G1_11	1	search	11	1	-89.1000972831	57.2511635263	-17.9535660761	73.015571615	125.525590432	-85.6760599861	-0.709816197451	0.456091569292	-0.143027139042	0.581678774534	1.0	-0.682538593855							0	0	0	0	0	0	0	29
2017-06-01_16-13-08	lines	80	100	10	-1	4	0	100	1496333588.2	92325	G1_12	1	search	12	1	130.223339954	-60.2720959727	-199.200990182	-46.2755752676	-33.056961577	100.120952923	0.653728376726	-0.302569258905	-1.0	-0.232305950012	-0.165947777402	0.50261272713							1	1	0	0	0	40	0	40
2017-06-01_16-13-08	lines	80	100	10	-1	4	0	100	1496333588.2	42335	G1_13	1	search	13	1	-98.0395344933	-171.238166585	111.475644557	-79.8670519316	-63.0028791026	137.005266324	-0.572533194254	-1.0	0.650997653037	-0.466409174568	-0.36792544769	0.800086038389							0	0	0	0	0	0	0	36
2017-06-01_16-13-08	lines	80	100	10	-1	4	0	100	1496333588.2	62455	G1_14	1	search	14	1	84.9065475491	-31.8530277145	80.4149113313	-23.9754197093	-231.398029127	-60.7916948281	0.36692856836	-0.137654706199	0.347517702007	-0.103611166438	-1.0	-0.262714834078							1	1	0	0	0	40	0	35
2017-06-01_16-13-08	lines	80	100	10	-1	4	0	100	1496333588.2	84586	G1_15	1	search	15	1	228.514118134	-23.6753504318	-12.0041029305	-118.727504541	-19.0658651847	-124.847139806	1.0	-0.103605635508	-0.0525311216152	-0.519563104066	-0.0834340798738	-0.546343223015							0	0	0	0	0	0	0	36
2017-06-01_16-13-08	lines	80	100	10	-1	4	0	100	1496333588.2	54982	G1_16	1	search	16	1	-2.6283669137	65.7613461159	281.616573766	-170.83031208	-54.4698021097	-200.39789177	-0.00933314001569	0.233513763897	1.0	-0.606606031013	-0.193418311221	-0.711598359039							1	1	0	0	0	40	0	38
2017-06-01_16-13-08	lines	80	100	10	-1	4	0	100	1496333588.2	26218	G1_17	1	search	17	1	-89.807091544	-169.337937571	95.2729436895	96.5663650575	-113.286209636	55.9111720443	-0.530342419615	-1.0	0.562620196373	0.570258303855	-0.668994858807	0.330175109289							0	0	0	0	0	0	0	32
2017-06-01_16-13-08	lines	80	100	10	-1	4	0	100	1496333588.2	37503	G1_18	1	search	18	1	47.1489262127	-38.1855178607	162.119182878	-133.585467979	-5.53004786468	129.864470235	0.290828792593	-0.235539787351	1.0	-0.823995443398	-0.0341110025754	0.801043207404							0	0	0	0	0	0	0	28
2017-06-01_16-13-08	lines	80	100	10	-1	4	0	100	1496333588.2	64612	G1_19	1	search	19	1	71.5328974589	8.31603328941	-53.3629387582	80.3622532778	-122.54434067	-13.015533436	0.58373073018	0.0678614225996	-0.435458206118	0.655781024553	-1.0	-0.106210807981							4	4	0	0	0	160	0	47
2017-06-01_16-13-08	lines	80	100	10	-1	4	0	100	1496333588.2	25199	G1_20	1	search	20	1	237.617838647	-98.4353672147	-211.05047119	-51.6886236082	-161.344989102	218.392661412	1.0	-0.414259164107	-0.88819287471	-0.217528380456	-0.679010422874	0.919092028845							0	0	0	0	0	0	0	33
2017-06-01_16-13-08	lines	80	100	10	-1	4	0	100	1496333588.2	2066	G1_21	1	search	21	1	46.2966044057	-2.77084651172	19.7966883099	35.5289744108	-6.65648635438	-138.282093135	0.334798261699	-0.0200376379103	0.14316161884	0.256931129731	-0.0481370089465	-1.0							0	0	0	0	0	0	0	34
2017-06-01_16-13-08	lines	80	100	10	-1	4	0	100	1496333588.2	10741	G1_22	1	search	22	1	95.2340071744	49.0261287571	-187.824020315	-20.1061897003	15.154771889	-50.0323063294	0.507038487489	0.261021613077	-1.0	-0.107048021156	0.0806860158975	-0.266378635947							1	1	0	0	0	40	0	40
2017-06-01_16-13-08	lines	80	100	10	-1	4	0	100	1496333588.2	9053	G1_23	1	search	23	1	-160.56867904	22.2765186325	21.98612536	-3.98165848625	-75.7478885382	82.8670868565	-1.0	0.138735142903	0.136926612907	-0.0247972301326	-0.471747597296	0.516085000834							0	0	0	0	0	0	0	30
