session	optimize	depth	controllers	survivors	episodes	noise	initial_value	variance	session_seed	game_seed	name	generation	type	game_num	repetition	landing_height	eroded_cells	row_trans	col_trans	pits	cuml_wells	landing_height_norm	eroded_cells_norm	row_trans_norm	col_trans_norm	pits_norm	cuml_wells_norm	landing_height_var	eroded_cells_var	row_trans_var	col_trans_var	pits_var	cuml_wells_var	lines	l1	l2	l3	l4	score	level	eps
2017-06-02_14-08-49	score	80	100	10	500	4	0	100	1496412529.1	NIL	G0	0	base	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10.0	10.0	10.0	10.0	10.0	10.0								
2017-06-02_14-08-49	score	80	100	10	500	4	0	100	1496412529.1	5089	G1_1	1	search	1	1	-11.7712990615	5.78902602277	-4.54215452745	-30.0571576442	-7.71220079196	-2.68949557309	-0.391630479528	0.19260058091	-0.151117234078	-1.0	-0.256584500878	-0.0894793714337							197	91	42	6	1	117320	19	500
2017-06-02_14-08-49	score	80	100	10	500	4	0	100	1496412529.1	25556	G1_2	1	search	2	1	0.58148829738	-3.88288534567	-6.53860134906	-2.6199895933	16.0549834262	-5.90222877122	0.0362185548214	-0.241849227906	-0.407263039486	-0.163188557954	1.0	-0.367625964757							0	0	0	0	0	0	0	29
2017-06-02_14-08-49	score	80	100	10	500	4	0	100	1496412529.1	70770	G1_3	1	search	3	1	-2.19686614536	3.01298661351	2.24077181914	-2.55203340999	13.2757060574	7.00933938024	-0.165480173774	0.226954905485	0.168787393261	-0.192233347059	1.0	0.527982417652							0	0	0	0	0	0	0	31
2017-06-02_14-08-49	score	80	100	10	500	4	0	100	1496412529.1	91351	G1_4	1	search	4	1	11.5220294563	9.23752199054	-0.548307965998	-8.3295531575	-9.68623008828	-14.6447890858	0.786766500278	0.630771937815	-0.0374404822621	-0.56877249025	-0.661411375168	-1.0							0	0	0	0	0	0	0	41
2017-06-02_14-08-49	score	80	100	10	500	4	0	100	1496412529.1	71656	G1_5	1	search	5	1	2.81228960463	3.96586299261	6.27975839972	-0.369202527181	-2.19415466418	0.120144431979	0.447834044819	0.631531141832	1.0	-0.0587924731623	-0.349401127323	0.0191320150126							0	0	0	0	0	0	0	33
2017-06-02_14-08-49	score	80	100	10	500	4	0	100	1496412529.1	43894	G1_6	1	search	6	1	0.778875880523	25.47006442	-3.88586895331	-3.6205790453	-11.1703878643	5.45029213084	0.0305800514549	1.0	-0.152566121908	-0.142150368589	-0.438569281964	0.213988156487							0	0	0	0	0	0	0	33
2017-06-02_14-08-49	score	80	100	10	500	4	0	100	1496412529.1	70909	G1_7	1	search	7	1	1.27237234776	1.17815669741	5.80394554783	9.94366219712	-12.1597011983	6.01588798995	0.104638455092	0.0968902671373	0.477309882307	0.817755472359	-1.0	0.494739787752							0	0	0	0	0	0	0	28
2017-06-02_14-08-49	score	80	100	10	500	4	0	100	1496412529.1	2572	G1_8	1	search	8	1	5.39226669311	-23.6204129845	-6.43385146493	-1.67896608565	6.01150526793	-0.897349151774	0.228288417169	-1.0	-0.272385223288	-0.0710811486131	0.254504663906	-0.0379904090739							1	1	0	0	0	40	0	32
2017-06-02_14-08-49	score	80	100	10	500	4	0	100	1496412529.1	59243	G1_9	1	search	9	1	5.03181161408	-10.4622851294	-4.18511447098	-13.364860165	-3.24670396371	-8.88931204615	0.37649564245	-0.78282039619	-0.313143154459	-1.0	-0.242928390094	-0.665125705499							2	2	0	0	0	80	0	42
2017-06-02_14-08-49	score	80	100	10	500	4	0	100	1496412529.1	93408	G1_10	1	search	10	1	14.7361187042	1.92065526464	-11.9857534331	14.1613299321	5.59863132598	-5.08629381918	1.0	0.130336576624	-0.813358909067	0.960994561482	0.379925775461	-0.345158309408							0	0	0	0	0	0	0	30
2017-06-02_14-08-49	score	80	100	10	500	4	0	100	1496412529.1	1251	G1_11	1	search	11	1	-7.03225281262	-4.05470542093	-6.77638906526	-3.95642788239	11.208040729	2.91472293327	-0.62742926999	-0.361767548759	-0.604600681698	-0.352999063623	1.0	0.260056418757							0	0	0	0	0	0	0	27
