session	optimize	depth	controllers	survivors	episodes	noise	initial_value	variance	session_seed	game_seed	name	generation	type	game_num	repetition	landing_height	eroded_cells	row_trans	col_trans	pits	cuml_wells	mean_ht	max_ht	min_ht	all_ht	max_ht_diff	min_ht_diff	cleared	deep_wells	max_well	cuml_cleared	cuml_eroded	pit_depth	pit_rows	column_9	tetris	landing_height_norm	eroded_cells_norm	row_trans_norm	col_trans_norm	pits_norm	cuml_wells_norm	mean_ht_norm	max_ht_norm	min_ht_norm	all_ht_norm	max_ht_diff_norm	min_ht_diff_norm	cleared_norm	deep_wells_norm	max_well_norm	cuml_cleared_norm	cuml_eroded_norm	pit_depth_norm	pit_rows_norm	column_9_norm	tetris_norm	landing_height_var	eroded_cells_var	row_trans_var	col_trans_var	pits_var	cuml_wells_var	mean_ht_var	max_ht_var	min_ht_var	all_ht_var	max_ht_diff_var	min_ht_diff_var	cleared_var	deep_wells_var	max_well_var	cuml_cleared_var	cuml_eroded_var	pit_depth_var	pit_rows_var	column_9_var	tetris_var	lines	l1	l2	l3	l4	score	level	eps	norm_of_weights
2017-06-14_13-34-10	score	80	200	10	800	4	0	100	1497447250.42	NIL	G0	0	base	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10.0	10.0	10.0	10.0	10.0	10.0	10.0	10.0	10.0	10.0	10.0	10.0	10.0	10.0	10.0	10.0	10.0	10.0	10.0	10.0	10.0									
2017-06-14_13-34-10	score	80	200	10	800	4	0	100	1497447250.42	74946	G1_1	1	search	1	1	14.093915383	5.70788736313	-0.0	0.0	9.01462323796	-9.33008041799	-16.3131384841	8.88755485888	-2.55864289169	0.0	25.7672003905	0.0	7.75080566902	-8.00519036237	-0.0	1.86856498226	0.0	1.03247033739	-9.55513968136	8.75904679305	0.37731987082	0.546971155943	0.221517560178	-0.0	0.0	0.349848765149	-0.362091351664	-0.633097047288	0.344917364874	-0.0992984434827	0.0	1.0	0.0	0.300801233799	-0.310673656472	-0.0	0.0725171906122	0.0	0.0400691701754	-0.370825682905	0.339930091756	0.0146434174106																						1	1	0	0	0	40	0	27	15
2017-06-14_13-34-10	score	80	200	10	800	4	0	100	1497447250.42	12768	G1_2	1	search	2	1	-10.5839768497	-10.7934424744	0.0	-0.0	-16.6180246797	3.09852138652	-3.59633097946	-9.06830189515	-8.40043196559	0.0	-12.6273587619	-0.0	4.85345847762	-10.7626163968	0.0	-12.2484150637	0.0	-12.4984671843	2.36185496341	-8.71519130821	-6.74343478326	-0.636897408312	-0.649502132922	0.0	-0.0	-1.0	0.186455457026	-0.216411459773	-0.545690722571	-0.505501233	0.0	-0.759859189361	-0.0	0.292059891063	-0.647647154474	0.0	-0.737056015968	0.0	-0.75210305829	0.142126095546	-0.524442072762	-0.40579039406																						13	3	5	0	0	720	1	72	15
2017-06-14_13-34-10	score	80	200	10	800	4	0	100	1497447250.42	96934	G1_3	1	search	3	1	-5.09475853004	10.3870534871	-0.0	0.0	-3.3218929781	1.8082058503	3.37514879357	1.97506795086	-14.20206494	0.0	-0.0673072942953	-0.0	-12.6982829514	7.75534083616	-0.0	9.7130433515	-0.0	6.5340087637	23.0434968004	-13.626717624	-1.11090780929	-0.221093116821	0.450758562258	-0.0	0.0	-0.144157503823	0.0784692473525	0.14646860339	0.0857104270228	-0.616315529843	0.0	-0.00292088023265	-0.0	-0.551057118693	0.336552256081	-0.0	0.421509089338	-0.0	0.283551095578	1.0	-0.591347647538	-0.0482091680318																						1	1	0	0	0	40	0	30	15
2017-06-14_13-34-10	score	80	200	10	800	4	0	100	1497447250.42	36597	G1_4	1	search	4	1	-4.65266969863	11.3633989183	-0.0	0.0	-10.8000909475	1.72865572839	-2.86605272195	15.0513841357	-11.0124677868	0.0	0.628018137341	0.0	3.65670831706	7.12963121125	-0.0	-2.77436266831	0.0	19.0919413705	4.92992415739	-11.2891812955	-19.6588984742	-0.236669908272	0.578028262022	-0.0	0.0	-0.549374165681	0.0879324816016	-0.145789079979	0.765627034266	-0.560177255162	0.0	0.0319457439675	0.0	0.186007792952	0.362666871727	-0.0	-0.141125031596	0.0	0.971160281209	0.250773163301	-0.574252993384	-1.0																						0	0	0	0	0	0	0	24	15
2017-06-14_13-34-10	score	80	200	10	800	4	0	100	1497447250.42	60532	G1_5	1	search	5	1	-28.5618045095	-17.1736046685	-0.0	-0.0	-4.14622604406	-13.1107178697	-5.62774472135	8.43641672401	8.33674395151	0.0	5.54425882258	0.0	-13.6633691509	-0.634076189214	-0.0	4.64641044416	-0.0	-9.78756867544	-3.06016304645	7.99916302519	-0.658147495673	-1.0	-0.60127869942	-0.0	-0.0	-0.145166809845	-0.459029746015	-0.197037435764	0.295374079786	0.291884357263	0.0	0.194114444721	0.0	-0.478379058521	-0.0222001445673	-0.0	0.162679162748	-0.0	-0.342680332827	-0.107141796501	0.280065043598	-0.0230429241771																						22	16	3	0	0	1480	2	95	15
2017-06-14_13-34-10	score	80	200	10	800	4	0	100	1497447250.42	6006	G1_6	1	search	6	1	-13.3066651516	5.93464149924	0.0	0.0	2.93877349696	13.2293464588	2.64385508603	-8.11653152089	12.1384608841	-0.0	-10.6029315393	-0.0	23.4105539255	2.72725716755	-0.0	-4.91237800728	0.0	9.94451318939	-12.641148054	-6.17612114076	19.8483325095	-0.568404540703	0.253502822622	0.0	0.0	0.125531993233	0.565101812665	0.112934324171	-0.346703950139	0.518503787766	-0.0	-0.452912458758	-0.0	1.0	0.116496908883	-0.0	-0.209836043304	0.0	0.424787607378	-0.539976460799	-0.263817813129	0.847836944514																						0	0	0	0	0	0	0	34	15
2017-06-14_13-34-10	score	80	200	10	800	4	0	100	1497447250.42	5882	G1_7	1	search	7	1	16.7512858757	-1.975305385	0.0	0.0	6.08105941564	-19.0472658527	-10.8548242302	-5.26819603819	-15.5491737179	0.0	-8.02093418958	0.0	16.5631843109	2.31145321881	0.0	1.1291338023	0.0	-14.8029769615	-17.9788278429	-6.54438665289	19.5678279405	0.856062610864	-0.100946583903	0.0	0.0	0.31076823826	-0.973397042872	-0.554728111021	-0.269227430567	-0.7946295197	0.0	-0.409904165857	0.0	0.846449813504	0.11812518108	0.0	0.0577035839507	0.0	-0.756495662501	-0.918795274447	-0.334446248853	1.0																						13	9	2	0	0	680	1	69	15
2017-06-14_13-34-10	score	80	200	10	800	4	0	100	1497447250.42	32776	G1_8	1	search	8	1	17.8535132375	-13.9422058154	0.0	0.0	-1.52230662842	-7.76408771534	-8.30173282462	7.88343427285	-2.40995292823	-0.0	12.2790570545	0.0	-5.78961753245	0.179287503731	0.0	6.96607164774	-0.0	-0.0121305395436	-10.7140915992	-15.3569761593	0.772036995067	1.0	-0.780922254901	0.0	0.0	-0.0852665023495	-0.434877304654	-0.464991551756	0.441562070611	-0.134984800816	-0.0	0.687766989676	0.0	-0.324284495461	0.0100421413615	0.0	0.390179319614	-0.0	-0.000679448318219	-0.60011110736	-0.860165501038	0.0432428612114																						1	1	0	0	0	40	0	35	15
2017-06-14_13-34-10	score	80	200	10	800	4	0	100	1497447250.42	40373	G1_9	1	search	9	1	-2.02111132663	5.22876741409	-0.0	-0.0	-36.5310432175	-0.628139273951	11.0639886277	0.022060018278	33.2970610463	-0.0	-17.1218476868	-0.0	-3.25334529176	7.62883608114	0.0	-1.10858803854	-0.0	-9.45893835488	-3.69469428394	-3.74291625141	5.36310216512	-0.0553258584649	0.143132167975	-0.0	-0.0	-1.0	-0.0171946711243	0.302865389359	0.000603870471115	0.911473040836	-0.0	-0.468693094389	-0.0	-0.0890570048163	0.208831596616	0.0	-0.0303464653868	-0.0	-0.25892877733	-0.10113848274	-0.102458509852	0.146809444592																						6	1	1	1	0	440	0	50	15
