session	optimize	depth	controllers	survivors	episodes	noise	initial_value	variance	session_seed	game_seed	name	generation	type	game_num	repetition	landing_height	eroded_cells	row_trans	col_trans	pits	cuml_wells	deep_wells	max_well	cuml_cleared	pit_depth	pit_rows	tetris	landing_height_norm	eroded_cells_norm	row_trans_norm	col_trans_norm	pits_norm	cuml_wells_norm	deep_wells_norm	max_well_norm	cuml_cleared_norm	pit_depth_norm	pit_rows_norm	tetris_norm	landing_height_var	eroded_cells_var	row_trans_var	col_trans_var	pits_var	cuml_wells_var	deep_wells_var	max_well_var	cuml_cleared_var	pit_depth_var	pit_rows_var	tetris_var	lines	l1	l2	l3	l4	score	level	eps	norm_of_weights
2017-06-27_20-43-37	score	80	200	10	600	4	0	100	1498596217.66	NIL	G0	0	base	0	0	-17.84303	-64.50654	-16.20005	-53.06947	-53.23822	-8.680245	-0.2771131	80.23337	-5.0577417	-4.9643727	4.779058	28.1126	-0.222389138086	-0.803986421111	-0.201911623555	-0.661438875121	-0.663542114709	-0.108187466138	-0.00345383847145	1.0	-0.0630378818689	-0.0618741640791	0.0595644680013	0.350385382042	21.5382	23.91866	7.74722	42.32221	40.21499	6.544137	20.36678	11.37082	6.894212	11.90838	21.49596	24.46683									
2017-06-27_20-43-37	score	80	200	10	600	4	0	100	1498596217.66	75677	G1_1	1	search	1	1	-19.1997417718	-0.0	-14.2223686265	-52.7047478873	-54.9840611383	-7.91071404351	6.56348717574	82.6832220014	-1.25797792985	-3.41025139188	0.0	0.0	-0.232208437299	-0.0	-0.172010333925	-0.637429778515	-0.664996595529	-0.0956749610383	0.0793811249352	1.0	-0.015214428023	-0.0412447810974	0.0	0.0													4	2	1	0	0	-1440.0	0	54	9
2017-06-27_20-43-37	score	80	200	10	600	4	0	100	1498596217.66	70685	G1_2	1	search	2	1	-17.6276832477	-0.0	-13.9465075403	-48.5768522955	-55.2048737495	-8.95048617399	-4.31437886898	79.6282952147	-5.12673942981	0.822600435532	0.0	0.0	-0.221374615646	-0.0	-0.175145122757	-0.610045112287	-0.693282125414	-0.112403337907	-0.0541814798037	1.0	-0.0643833880404	0.0103305041671	0.0	0.0													198	31	21	15	20	282200.0	19	538	9
2017-06-27_20-43-37	score	80	200	10	600	4	0	100	1498596217.66	49707	G1_3	1	search	3	1	-17.8310246745	-0.0	-16.9108365473	-64.8868684936	-40.563033965	-9.32549850916	12.0175073316	85.0141839842	-9.51980809558	-1.55527925517	0.0	0.0	-0.209741761185	-0.0	-0.198917824706	-0.763247560026	-0.477132544994	-0.109693442578	0.141358850587	1.0	-0.111979056311	-0.0182943502165	0.0	0.0													62	5	4	7	7	27360.0	6	198	9
2017-06-27_20-43-37	score	80	200	10	600	4	0	100	1498596217.66	92348	G1_4	1	search	4	1	-21.8139940518	-0.0	-12.9034430564	-57.5504383047	-57.4791696756	-5.42687478574	-4.38841634156	79.6699790855	-5.45933907394	-0.232595143856	0.0	0.0	-0.273804440546	-0.0	-0.161961170374	-0.722360404323	-0.721465856216	-0.0681169349865	-0.0550824337087	1.0	-0.0685244195694	-0.00291948292852	0.0	0.0													51	4	2	5	7	22140.0	5	171	9
2017-06-27_20-43-37	score	80	200	10	600	4	0	100	1498596217.66	10476	G1_5	1	search	5	1	-24.2065663277	-0.0	-14.4050471629	-57.4997813173	-51.6591869981	-13.407644376	-4.36493642764	83.4658583678	-7.23834888767	-6.55094923714	0.0	0.0	-0.290017580853	-0.0	-0.172586102205	-0.688901814966	-0.618925965757	-0.160636272581	-0.0522960706689	1.0	-0.0867222721866	-0.0784865736151	0.0	0.0													238	64	23	24	14	296900.0	23	600	9
2017-06-27_20-43-37	score	80	200	10	600	4	0	100	1498596217.66	18721	G1_6	1	search	6	1	-23.5724152285	-0.0	-19.1418352307	-57.4433501056	-53.7911857682	-8.05834593975	-0.933899121495	87.2615846813	-7.8607183026	-5.05172981842	0.0	0.0	-0.270135080798	-0.0	-0.219361535784	-0.6582891007	-0.616436040724	-0.0923470043453	-0.0107022938548	1.0	-0.0900822318471	-0.0578917955349	0.0	0.0													227	30	13	17	30	458100.0	22	600	9
2017-06-27_20-43-37	score	80	200	10	600	4	0	100	1498596217.66	4572	G1_7	1	search	7	1	-14.3393456426	-0.0	-21.7138292182	-57.8470686071	-45.9642159354	-12.1032842224	1.74400436982	84.5413113874	-2.85520436582	-5.78912036151	0.0	0.0	-0.169613475439	-0.0	-0.256842824672	-0.684246170988	-0.54368941268	-0.143164140983	0.0206290196024	1.0	-0.0337728894781	-0.0684768223548	0.0	0.0													233	70	31	15	14	237180.0	23	600	9
2017-06-27_20-43-37	score	80	200	10	600	4	0	100	1498596217.66	51411	G1_8	1	search	8	1	-25.3724274424	-0.0	-11.9623709925	-36.5909566332	-53.4855367616	-6.13934167138	7.99476054907	82.2196156849	-7.36655607381	-2.57213972577	0.0	0.0	-0.30859335976	-0.0	-0.145492908144	-0.445039256489	-0.650520393656	-0.0746700361007	0.0972366567572	1.0	-0.0895960898436	-0.0312837721795	0.0	0.0													4	1	0	1	0	-740.0	0	52	9
2017-06-27_20-43-37	score	80	200	10	600	4	0	100	1498596217.66	72160	G1_9	1	search	9	1	-16.8160004381	-0.0	-18.537031738	-57.4337489758	-57.9816266775	-8.5894370321	-0.888480370391	81.3854834082	-1.9724101079	-6.03072681637	0.0	0.0	-0.206621620146	-0.0	-0.22776828203	-0.705700163846	-0.712432048683	-0.105540161124	-0.0109169391541	1.0	-0.024235404464	-0.0741007678989	0.0	0.0													28	6	6	2	1	-3040.0	2	114	9
