session	optimize	depth	controllers	survivors	episodes	noise	initial_value	variance	session_seed	game_seed	name	generation	type	game_num	repetition	landing_height	eroded_cells	row_trans	col_trans	pits	cuml_wells	deep_wells	max_well	cuml_cleared	pit_depth	pit_rows	tetris	landing_height_norm	eroded_cells_norm	row_trans_norm	col_trans_norm	pits_norm	cuml_wells_norm	deep_wells_norm	max_well_norm	cuml_cleared_norm	pit_depth_norm	pit_rows_norm	tetris_norm	landing_height_var	eroded_cells_var	row_trans_var	col_trans_var	pits_var	cuml_wells_var	deep_wells_var	max_well_var	cuml_cleared_var	pit_depth_var	pit_rows_var	tetris_var	lines	l1	l2	l3	l4	score	level	eps	norm_of_weights
2017-07-05_13-25-30	score	80	200	10	600	4	0	100	1499261130.36	NIL	G0	0	base	0	0	-17.84303	-64.50654	-16.20005	-53.06947	-53.23822	-8.680245	-0.2771131	80.23337	-5.0577417	-4.9643727	4.779058	28.1126	-0.222389138086	-0.803986421111	-0.201911623555	-0.661438875121	-0.663542114709	-0.108187466138	-0.00345383847145	1.0	-0.0630378818689	-0.0618741640791	0.0595644680013	0.350385382042	21.5382	23.91866	7.74722	42.32221	40.21499	6.544137	20.36678	11.37082	6.894212	11.90838	21.49596	24.46683									
2017-07-05_13-25-30	score	80	200	10	600	4	0	100	1499261130.36	53331	G1_1	1	search	1	1	-22.0520115587	-61.6116170913	-0.0	-61.6619323621	-53.166976821	-11.7666123854	0.0	79.608942059	-5.09859069241	-6.92239988863	-0.0	27.566121541	-0.27700420315	-0.773928348975	-0.0	-0.774560379365	-0.667851819732	-0.147805159584	0.0	1.0	-0.0640454521884	-0.0869550544146	-0.0	0.346269160574													97	20	11	9	7	14860.0	9	284	9
2017-07-05_13-25-30	score	80	200	10	600	4	0	100	1499261130.36	75998	G1_2	1	search	2	1	-14.964026864	-65.3833298866	-0.0	-57.0949923984	-56.9129033149	-9.53256047015	0.0	80.113604159	-9.73118567809	-5.67133565633	0.0	23.5569612945	-0.18678509126	-0.816132672758	-0.0	-0.712675368906	-0.710402482978	-0.118988036679	0.0	1.0	-0.121467331051	-0.0707911685645	0.0	0.294044457764													57	8	8	3	6	6720.0	5	184	9
2017-07-05_13-25-30	score	80	200	10	600	4	0	100	1499261130.36	41765	G1_3	1	search	3	1	-19.4781914872	-68.4586741752	-0.0	-61.8576375514	-52.6956994124	-9.45182349359	0.0	71.9584943765	-3.33163304499	-4.49824705332	0.0	25.8754394196	-0.270686479143	-0.951363348668	-0.0	-0.859629402857	-0.732306864798	-0.131351045842	0.0	1.0	-0.0462993712397	-0.062511689444	0.0	0.359588393891													39	9	4	6	1	-7240.0	3	139	9
2017-07-05_13-25-30	score	80	200	10	600	4	0	100	1499261130.36	32193	G1_4	1	search	4	1	-11.6658098451	-66.6138207563	-0.0	-54.1862056896	-52.3454894803	-8.07022021017	-0.0	76.018874583	-5.58159095649	-10.2218981401	0.0	28.945073524	-0.153459386357	-0.876280017584	-0.0	-0.712799367089	-0.688585430493	-0.106160743032	-0.0	1.0	-0.0734237514974	-0.13446526532	0.0	0.380761668504													13	3	0	2	1	-3180.0	1	72	9
2017-07-05_13-25-30	score	80	200	10	600	4	0	100	1499261130.36	52559	G1_5	1	search	5	1	-25.6290045432	-65.999838187	-0.0	-61.5595468821	-58.5195605695	-8.62964599588	0.0	79.8383981642	-5.62462031801	1.44275261748	-0.0	35.282145854	-0.321011006389	-0.826667865395	-0.0	-0.771051878515	-0.732975133708	-0.108088917041	0.0	1.0	-0.0704500647226	0.0180709113742	-0.0	0.441919510727													49	6	5	3	6	9480.0	4	166	9
2017-07-05_13-25-30	score	80	200	10	600	4	0	100	1499261130.36	25663	G1_6	1	search	6	1	-13.4959969352	-58.0881116296	-0.0	-50.9475833683	-62.2703690159	-10.3867688257	-0.0	82.7344098891	-8.3309867654	-9.29111750888	-0.0	30.6082732847	-0.163124351202	-0.702103413893	-0.0	-0.615796781975	-0.752653812354	-0.125543517378	-0.0	1.0	-0.10069554828	-0.1123005231	-0.0	0.369958199082													92	19	11	5	9	17320.0	9	273	9
2017-07-05_13-25-30	score	80	200	10	600	4	0	100	1499261130.36	37650	G1_7	1	search	7	1	-18.5144647216	-56.6850649859	-0.0	-60.8615167534	-39.9477814162	-9.29975535385	0.0	81.4764094451	-6.73313549124	-5.2057576631	0.0	24.6903486415	-0.227237121122	-0.695723650218	-0.0	-0.746983294525	-0.490298746451	-0.114140466145	0.0	1.0	-0.0826390796685	-0.0638928212295	0.0	0.303036778494													41	7	5	4	3	-5200.0	4	146	9
2017-07-05_13-25-30	score	80	200	10	600	4	0	100	1499261130.36	42701	G1_8	1	search	8	1	-12.5725667388	-63.0556174767	-0.0	-54.3734721174	-57.9762998905	-12.2409528894	-0.0	82.5245607222	-5.08114930538	-7.13869540049	-0.0	30.1252755408	-0.152349393062	-0.764083042974	-0.0	-0.658876238074	-0.702533880618	-0.148331027543	-0.0	1.0	-0.0615713584042	-0.0865038885153	-0.0	0.365046178703													73	12	5	9	6	20860.0	7	226	9
2017-07-05_13-25-30	score	80	200	10	600	4	0	100	1499261130.36	77582	G1_9	1	search	9	1	-16.6976993713	-70.421748469	-0.0	-65.6994254754	-50.9211700128	-8.48334386844	-0.0	82.6663346391	-4.26790858963	-4.16395305049	0.0	25.626419483	-0.201989110128	-0.851879411086	-0.0	-0.794754306723	-0.615984369394	-0.102621507358	-0.0	1.0	-0.05162813385	-0.0503706021159	0.0	0.309998254972													63	6	8	3	8	22100.0	6	200	9
