session	optimize	depth	controllers	survivors	episodes	noise	initial_value	variance	session_seed	game_seed	name	generation	type	game_num	repetition	landing_height	eroded_cells	row_trans	col_trans	pits	cuml_wells	landing_height_norm	eroded_cells_norm	row_trans_norm	col_trans_norm	pits_norm	cuml_wells_norm	landing_height_var	eroded_cells_var	row_trans_var	col_trans_var	pits_var	cuml_wells_var	lines	l1	l2	l3	l4	score	level	eps
2017-05-31_17-13-24	lines	80	100	10	-1	4	0	100	1496250804.04	NIL	G0	0	base	0	0	0	0	0	0	0	0	0	0	0	0	0	0	100	100	100	100	100	100								
2017-05-31_17-13-24	lines	80	100	10	-1	4	0	100	1496250804.04	499	G1_1	1	search	1	1	-67.0577135987	57.2962097182	78.9136392202	-41.1604931307	-56.7979955509	-62.0148741457	-0.849760754432	0.726062190065	1.0	-0.521589088242	-0.719748779959	-0.785857486215							4	4	0	0	0	160	0	49
2017-05-31_17-13-24	lines	80	100	10	-1	4	0	100	1496250804.04	58760	G1_2	1	search	2	1	-9.93528621035	-125.992807028	78.1022767483	-97.9807812028	32.4427330766	40.0930118411	-0.0788559795177	-1.0	0.619894727254	-0.777669642532	0.25749670828	0.318216672737							0	0	0	0	0	0	0	30
2017-05-31_17-13-24	lines	80	100	10	-1	4	0	100	1496250804.04	89954	G1_3	1	search	3	1	62.5396895606	-52.966127935	-90.2710064207	48.8338263113	167.126327422	-50.9032820569	0.37420609024	-0.316922706028	-0.540136361598	0.292197088662	1.0	-0.304579672409							0	0	0	0	0	0	0	29
2017-05-31_17-13-24	lines	80	100	10	-1	4	0	100	1496250804.04	85506	G1_4	1	search	4	1	-35.9409079211	-0.254384747933	-71.7091710156	139.288575804	-100.428079002	-18.6747678656	-0.258031986569	-0.00182631451621	-0.514824497282	1.0	-0.72100729311	-0.134072502054							0	0	0	0	0	0	0	32
2017-05-31_17-13-24	lines	80	100	10	-1	4	0	100	1496250804.04	7762	G1_5	1	search	5	1	-147.912526155	134.839914153	-119.232672046	-60.7517399298	-23.4514713357	94.0220184475	-1.0	0.911619304047	-0.806102600946	-0.410727485421	-0.158549596477	0.635659608363							0	0	0	0	0	0	0	33
2017-05-31_17-13-24	lines	80	100	10	-1	4	0	100	1496250804.04	62913	G1_6	1	search	6	1	-30.0394867635	29.7842237484	-7.37903401073	-348.031418428	-50.3430266874	44.7257911719	-0.0863125717189	0.0855791235254	-0.0212022065251	-1.0	-0.144650810305	0.128510786106							0	0	0	0	0	0	0	37
2017-05-31_17-13-24	lines	80	100	10	-1	4	0	100	1496250804.04	76277	G1_7	1	search	7	1	35.6936649538	-10.4722238573	21.3831909575	-43.6277744786	-163.701954188	-125.612886198	0.218040555049	-0.0639712818897	0.130622698205	-0.266507352921	-1.0	-0.767326736088							1	1	0	0	0	40	0	40
2017-05-31_17-13-24	lines	80	100	10	-1	4	0	100	1496250804.04	31479	G1_8	1	search	8	1	-7.30003703904	21.3140525891	-44.2744373206	127.91291943	-97.8461461413	27.6563540446	-0.0570703653048	0.166629396656	-0.346129519349	1.0	-0.764943420709	0.216212358907							0	0	0	0	0	0	0	32
2017-05-31_17-13-24	lines	80	100	10	-1	4	0	100	1496250804.04	46923	G1_9	1	search	9	1	-107.367010752	162.892636773	-30.6309134571	28.9354035858	85.8812341341	25.3433838576	-0.659127465055	1.0	-0.188043573141	0.177634816153	0.527226005027	0.15558336067							0	0	0	0	0	0	0	26
