session	optimize	depth	controllers	survivors	episodes	noise	initial_value	variance	session_seed	game_seed	name	generation	type	game_num	repetition	landing_height	eroded_cells	row_trans	col_trans	pits	cuml_wells	deep_wells	max_well	cuml_cleared	pit_depth	pit_rows	tetris	landing_height_norm	eroded_cells_norm	row_trans_norm	col_trans_norm	pits_norm	cuml_wells_norm	deep_wells_norm	max_well_norm	cuml_cleared_norm	pit_depth_norm	pit_rows_norm	tetris_norm	landing_height_var	eroded_cells_var	row_trans_var	col_trans_var	pits_var	cuml_wells_var	deep_wells_var	max_well_var	cuml_cleared_var	pit_depth_var	pit_rows_var	tetris_var	lines	l1	l2	l3	l4	score	level	eps	norm_of_weights
2017-07-07_13-18-53	score	64	200	10	600	4	0	100	1499433533.79	NIL	G0	0	base	0	0	-18.59411	-49.89329	-19.93395	-56.59616	-55.51307	-7.93756	-0.2377499	78.28183	-3.5911434	-5.924762	1.182153	28.5708	-0.237527789016	-0.637354670937	-0.254643382762	-0.722979521557	-0.709143743829	-0.101397220785	-0.00303710196862	1.0	-0.0458745458557	-0.0756850216711	0.0151012438008	0.36497358327	17.29559	34.16077	10.54538	28.83381	32.28161	7.527053	13.9974	19.67477	20.71313	8.146976	32.3329	20.97502									
2017-07-07_13-18-53	score	64	200	10	600	4	0	100	1499433533.79	51344	G1_1	1	search	1	1	-22.6558515009	-48.7462167634	-19.472332387	-58.9184463365	-46.9876450821	-1.99781406622	3.50596012949	85.926957292	0.0	-0.0	-4.52634764042	0.0	-0.263664072543	-0.567298299621	-0.226614941348	-0.685680584921	-0.546832409327	-0.0232501432516	0.0408016324559	1.0	0.0	-0.0	-0.0526766894008	0.0													34	0	1	0	8	13600.0	3	127	9
2017-07-07_13-18-53	score	64	200	10	600	4	0	100	1499433533.79	80837	G1_2	1	search	2	1	-20.8900938745	-51.9392755549	-14.9106441226	-52.075391298	-61.2806872026	-7.53216490019	5.97244169846	81.7276638291	-0.0	-0.0	-9.46974266648	0.0	-0.255606154584	-0.63551645944	-0.182443048338	-0.637181938871	-0.749815721281	-0.0921617546287	0.0730773573921	1.0	-0.0	-0.0	-0.115869489262	0.0													58	7	4	5	7	15380.0	5	188	9
2017-07-07_13-18-53	score	64	200	10	600	4	0	100	1499433533.79	58172	G1_3	1	search	3	1	-19.5861814353	-50.8877114906	-17.9229141463	-56.9470055712	-56.3015999386	-5.29940728132	-3.20091608002	84.4982995887	-0.0	-0.0	3.3999494337	0.0	-0.231793793847	-0.602233556631	-0.212109761185	-0.673942621904	-0.66630453172	-0.062716141119	-0.0378814259648	1.0	-0.0	-0.0	0.0402368976684	0.0													4	4	0	0	0	-3440.0	0	51	9
2017-07-07_13-18-53	score	64	200	10	600	4	0	100	1499433533.79	42308	G1_4	1	search	4	1	-17.3955906399	-50.6596589024	-19.5108643543	-53.6367841495	-49.8902280823	-8.07432044836	2.56308953236	79.7802404654	-0.0	-0.0	-4.89012993634	0.0	-0.218043848181	-0.634990050255	-0.244557602741	-0.672306624255	-0.625345671951	-0.101207020702	0.0321268714835	1.0	-0.0	-0.0	-0.061295001216	0.0													117	14	8	9	15	99400.0	11	336	9
2017-07-07_13-18-53	score	64	200	10	600	4	0	100	1499433533.79	74506	G1_5	1	search	5	1	-20.353449825	-39.1289549564	-23.1327689394	-49.6946629887	-55.2294484654	-5.10702280385	-4.53228023809	88.8940333238	-0.0	-0.0	3.36222158977	0.0	-0.228963059318	-0.440175268163	-0.260228589866	-0.559032604671	-0.621295337834	-0.0574506815913	-0.0509852019154	1.0	-0.0	-0.0	0.0378228038942	0.0													52	4	4	4	7	12780.0	5	173	9
2017-07-07_13-18-53	score	64	200	10	600	4	0	100	1499433533.79	31393	G1_6	1	search	6	1	-22.2418427539	-47.1547002729	-16.1585704795	-59.515393536	-61.9588799128	-6.6623723362	-2.07655034944	73.162084565	-0.0	-0.0	9.02004344768	0.0	-0.304007777883	-0.644523738673	-0.220859897249	-0.81347317931	-0.846871440053	-0.0910631835576	-0.0283828756629	1.0	-0.0	-0.0	0.123288497058	0.0													83	14	8	3	11	45740.0	8	249	9
2017-07-07_13-18-53	score	64	200	10	600	4	0	100	1499433533.79	19737	G1_7	1	search	7	1	-16.2688495362	-47.8513301276	-20.0564079119	-58.7570873508	-53.895863163	-2.90410195015	-0.341922871731	79.4897876528	-0.0	-0.0	-1.91523719876	0.0	-0.204665907616	-0.601980852391	-0.252314272111	-0.739177812469	-0.678022482566	-0.0365342773695	-0.00430146918022	1.0	-0.0	-0.0	-0.0240941290109	0.0													0	0	0	0	0	0	0	44	9
2017-07-07_13-18-53	score	64	200	10	600	4	0	100	1499433533.79	99974	G1_8	1	search	8	1	-26.3040844956	-50.7210044138	-21.0965688492	-59.796291657	-53.1672032464	-6.06734568423	1.57296572209	83.3392256124	-0.0	-0.0	-2.69917560841	0.0	-0.31562669682	-0.608609019836	-0.253140927266	-0.717504767025	-0.637961330403	-0.0728030005036	0.0188742541166	1.0	-0.0	-0.0	-0.0323878172443	0.0													26	3	0	1	5	3320.0	2	108	9
2017-07-07_13-18-53	score	64	200	10	600	4	0	100	1499433533.79	48183	G1_9	1	search	9	1	-23.2972673417	-62.9611493295	-22.8541375858	-57.9489509428	-59.6031900132	-6.02066274911	-5.34064131618	76.2703580865	-0.0	-0.0	2.41838620936	0.0	-0.305456378155	-0.825499589999	-0.299646391588	-0.75978338632	-0.781472534134	-0.0789384355883	-0.0700225021905	1.0	-0.0	-0.0	0.0317080746706	0.0													59	7	8	4	6	9980.0	5	191	9
