session	optimize	depth	controllers	survivors	episodes	noise	initial_value	variance	session_seed	game_seed	name	generation	type	game_num	repetition	landing_height	eroded_cells	row_trans	col_trans	pits	cuml_wells	landing_height_norm	eroded_cells_norm	row_trans_norm	col_trans_norm	pits_norm	cuml_wells_norm	landing_height_var	eroded_cells_var	row_trans_var	col_trans_var	pits_var	cuml_wells_var	lines	l1	l2	l3	l4	score	level	eps
2017-05-31_18-51-59	score	80	100	10	500	4	0	100	1496256719.91	NIL	G0	0	base	0	0	0	0	0	0	0	0	0	0	0	0	0	0	100	100	100	100	100	100								
2017-05-31_18-51-59	score	80	100	10	500	4	0	100	1496256719.91	82997	G1_1	1	search	1	1	-285.674057333	9.48413372325	-261.002559686	-12.544958253	-149.898366884	26.2515037333	-1.0	0.0331991424485	-0.913637598467	-0.0439135368823	-0.524718164062	0.0918932015681							159	125	17	0	0	56140	15	441
2017-05-31_18-51-59	score	80	100	10	500	4	0	100	1496256719.91	90678	G1_2	1	search	2	1	-75.8332194581	53.5072230763	-79.3590356804	-129.630336174	175.660517589	-164.475146737	-0.431703267752	0.304605860274	-0.451775030438	-0.737959434218	1.0	-0.9363239332							2	2	0	0	0	80	0	35
2017-05-31_18-51-59	score	80	100	10	500	4	0	100	1496256719.91	25796	G1_3	1	search	3	1	-183.205728879	135.258406176	-195.035016919	18.2641731083	-7.61146515668	-151.499625669	-0.939347875953	0.693508316165	-1.0	0.093645609885	-0.0390261465707	-0.776781667531							9	9	0	0	0	360	0	62
2017-05-31_18-51-59	score	80	100	10	500	4	0	100	1496256719.91	64911	G1_4	1	search	4	1	-103.084738334	-159.42517182	-128.793782903	19.6638060417	-24.4997024999	123.570539977	-0.646602648486	-1.0	-0.807863535179	0.123341915315	-0.153675246011	0.775100560134							0	0	0	0	0	0	0	32
2017-05-31_18-51-59	score	80	100	10	500	4	0	100	1496256719.91	31684	G1_5	1	search	5	1	-237.529689136	72.3273626348	-116.902645643	6.32025821843	47.7001700551	3.5440636315	-1.0	0.304498199352	-0.492160142455	0.026608287332	0.200817717686	0.014920508019							6	6	0	0	0	240	0	56
2017-05-31_18-51-59	score	80	100	10	500	4	0	100	1496256719.91	15037	G1_6	1	search	6	1	162.819588082	20.2296489397	39.9802433463	27.1915700326	-55.4270690164	-37.8216466467	1.0	0.12424579363	0.245549345857	0.167004292008	-0.340420152571	-0.232291747524							1	1	0	0	0	40	0	34
2017-05-31_18-51-59	score	80	100	10	500	4	0	100	1496256719.91	47852	G1_7	1	search	7	1	52.1292283968	40.9007956829	27.7967522662	38.9677869821	-96.098443999	129.525186712	0.402464028194	0.315774844423	0.214604996694	0.300851038869	-0.741928627461	1.0							0	0	0	0	0	0	0	31
2017-05-31_18-51-59	score	80	100	10	500	4	0	100	1496256719.91	5269	G1_8	1	search	8	1	-44.3729580271	4.1469899	-30.4144461648	62.4375564231	68.0383539295	28.0756489006	-0.652175654824	0.0609507676259	-0.447019135653	0.917681760611	1.0	0.412644446538							0	0	0	0	0	0	0	33
2017-05-31_18-51-59	score	80	100	10	500	4	0	100	1496256719.91	73004	G1_9	1	search	9	1	31.9192878722	12.7690488868	105.410808386	212.10000169	128.515929257	-82.4366140799	0.150491690796	0.060202964569	0.496986362782	1.0	0.605921396664	-0.388668615856							0	0	0	0	0	0	0	29
