session	optimize	depth	controllers	survivors	episodes	noise	initial_value	variance	session_seed	game_seed	name	generation	type	game_num	repetition	landing_height	eroded_cells	row_trans	col_trans	pits	cuml_wells	landing_height_norm	eroded_cells_norm	row_trans_norm	col_trans_norm	pits_norm	cuml_wells_norm	landing_height_var	eroded_cells_var	row_trans_var	col_trans_var	pits_var	cuml_wells_var	lines	l1	l2	l3	l4	score	level	eps
level	level	80	100	10	-1	4	0	100	1511052196.27	NIL	G0	0	base	0	0	0	0	0	0	0	0	0	0	0	0	0	0	100	100	100	100	100	100								
level	level	80	100	10	-1	4	0	100	1511052196.27	4429	G1_1	1	search	1	1	-130.861292883	-22.7750319943	54.6137316119	13.5681024496	63.5679009312	-70.6399651419	-1.0	-0.174039484805	0.417340608584	0.103683084209	0.485765496662	-0.539807941566							0	0	0	0	0	0	0	24
level	level	80	100	10	-1	4	0	100	1511052196.27	55381	G1_2	1	search	2	1	-47.5062364917	-32.364374617	64.8554519591	-75.2729985302	-24.1257985356	50.8067570851	-0.631119224946	-0.429959949104	0.861603140907	-1.0	-0.320510661282	0.67496656274							0	0	0	0	0	0	0	8
level	level	80	100	10	-1	4	0	100	1511052196.27	13447	G1_3	1	search	3	1	-13.2111699522	130.405360153	-6.13038202317	184.442091844	-184.125876023	156.380078258	-0.0716277386585	0.707026031041	-0.0332374349147	1.0	-0.998285555009	0.847854612225							0	0	0	0	0	0	0	15
level	level	80	100	10	-1	4	0	100	1511052196.27	19224	G1_4	1	search	4	1	39.838683687	17.6089759374	-27.8105216884	-114.986022036	-108.657729023	-76.7208526958	0.346465448422	0.153140143694	-0.241860020861	-1.0	-0.9449646757	-0.667218948333							2	0	1	0	0	100	0	45
level	level	80	100	10	-1	4	0	100	1511052196.27	35402	G1_5	1	search	5	1	133.255909344	-274.862310828	18.536503159	-30.7764987968	-45.5807892537	-11.8726050168	0.484809681409	-1.0	0.0674392320401	-0.111970603405	-0.165831354311	-0.0431947362336							0	0	0	0	0	0	0	12
level	level	80	100	10	-1	4	0	100	1511052196.27	17186	G1_6	1	search	6	1	-66.9302694494	-23.1613372895	-85.1179842494	63.5800253078	-112.128905358	24.5586918495	-0.596904689614	-0.206559916157	-0.759108313576	0.56702618388	-1.0	0.219021953091							10	10	0	0	0	400	1	63
level	level	80	100	10	-1	4	0	100	1511052196.27	81725	G1_7	1	search	7	1	83.1919716473	108.546976045	127.059926663	-106.428825536	89.4015943932	73.8818701329	0.654745944154	0.854297486983	1.0	-0.837627002711	0.703617550718	0.581472633215							0	0	0	0	0	0	0	15
level	level	80	100	10	-1	4	0	100	1511052196.27	57679	G1_8	1	search	8	1	32.0525426073	46.555575949	-83.9617360112	198.91661907	-12.4831277559	55.8524076584	0.16113556905	0.234045682893	-0.422095129124	1.0	-0.0627555797716	0.280783013102							0	0	0	0	0	0	0	9
level	level	80	100	10	-1	4	0	100	1511052196.27	72676	G1_9	1	search	9	1	-63.1826486975	-85.023131285	-63.4474736502	-30.5341922333	70.5238987475	-72.2519588603	-0.743123050663	-1.0	-0.74623779072	-0.359128060469	0.829467201239	-0.849791789226							2	2	0	0	0	80	0	35
level	level	80	100	10	-1	4	0	100	1511052196.27	52387	G1_10	1	search	10	1	53.3277976148	177.502529633	-2.40686585034	119.798535208	-38.3791437448	27.9236170973	0.3004340148	1.0	-0.0135596143633	0.674911706642	-0.216217446727	0.157313910709							0	0	0	0	0	0	0	24
level	level	80	100	10	-1	4	0	100	1511052196.27	57518	G1_11	1	search	11	1	79.3704744806	-118.894320242	129.831157242	-215.043860589	181.538588271	-60.4479855036	0.369089702274	-0.552884048476	0.603742682478	-1.0	0.844193309094	-0.281096076578							0	0	0	0	0	0	0	12
level	level	80	100	10	-1	4	0	100	1511052196.27	41601	G1_12	1	search	12	1	36.2218809077	-154.204367448	89.733783265	-73.5258406081	-42.9468369162	1.89741376599	0.23489529841	-1.0	0.581914667853	-0.476807770266	-0.278505969883	0.0123045397312							0	0	0	0	0	0	0	22
level	level	80	100	10	-1	4	0	100	1511052196.27	65107	G1_13	1	search	13	1	-199.068176123	43.1943565684	134.356848459	271.227597024	64.8479557028	-2.93006765766	-0.733952511865	0.159255020663	0.4953657	1.0	0.239090551309	-0.0108029849831							0	0	0	0	0	0	0	22
