session	optimize	depth	controllers	survivors	episodes	noise	initial_value	variance	session_seed	game_seed	name	generation	type	game_num	repetition	landing_height	eroded_cells	row_trans	col_trans	pits	cuml_wells	landing_height_norm	eroded_cells_norm	row_trans_norm	col_trans_norm	pits_norm	cuml_wells_norm	landing_height_var	eroded_cells_var	row_trans_var	col_trans_var	pits_var	cuml_wells_var	lines	l1	l2	l3	l4	score	level	eps
lines	lines	80	100	10	-1	4	0	100	1511052124.47	NIL	G0	0	base	0	0	0	0	0	0	0	0	0	0	0	0	0	0	100	100	100	100	100	100								
lines	lines	80	100	10	-1	4	0	100	1511052124.47	53166	G1_1	1	search	1	1	-114.230510845	57.4214328744	-32.241808289	-65.457448407	36.3141011524	-106.379127665	-1.0	0.502680347395	-0.28225215882	-0.573029464046	0.317901941294	-0.931267197164							22	20	1	0	0	1480	2	93
lines	lines	80	100	10	-1	4	0	100	1511052124.47	38004	G1_2	1	search	2	1	129.880800658	44.1179372483	-10.6668028158	10.9447647954	36.9742138631	236.452755033	0.549288591032	0.186582462285	-0.0451117721774	0.046287321938	0.156370408363	1.0							0	0	0	0	0	0	0	14
lines	lines	80	100	10	-1	4	0	100	1511052124.47	93896	G1_3	1	search	3	1	-44.0997018533	-50.5137769776	-30.8613905065	33.0232553401	-17.6921698779	-50.6112869155	-0.871341247002	-0.998073355889	-0.609772886393	0.652487959755	-0.34956965049	-1.0							1	1	0	0	0	40	0	35
lines	lines	80	100	10	-1	4	0	100	1511052124.47	96853	G1_4	1	search	4	1	-21.8031765257	-5.50888098045	-75.7303927356	-43.5725538004	30.5822120083	89.9952185928	-0.24227038799	-0.0612130407215	-0.841493513987	-0.484165208794	0.339820409201	1.0							0	0	0	0	0	0	0	16
lines	lines	80	100	10	-1	4	0	100	1511052124.47	37312	G1_5	1	search	5	1	-87.5499878718	99.226563778	-225.200183367	-33.5200402531	-11.9533978935	-48.7440776085	-0.388765171337	0.44061493332	-1.0	-0.14884552824	-0.0530789882798	-0.216447770511							51	42	3	1	0	6580	5	168
lines	lines	80	100	10	-1	4	0	100	1511052124.47	82463	G1_6	1	search	6	1	-62.9321936219	186.05226487	-176.751717835	152.891693207	-5.58074581432	-163.326887836	-0.338250080782	1.0	-0.950011105527	0.821767438915	-0.0299955811783	-0.877854875616							0	0	0	0	0	0	0	28
lines	lines	80	100	10	-1	4	0	100	1511052124.47	42187	G1_7	1	search	7	1	56.8713983929	54.7605113535	191.882947601	-109.5975897	18.7617117544	44.0550405162	0.296385891002	0.28538498099	1.0	-0.571168991669	0.0977768581779	0.229593307102							0	0	0	0	0	0	0	15
lines	lines	80	100	10	-1	4	0	100	1511052124.47	59285	G1_8	1	search	8	1	145.208414657	91.4631802538	-59.0803896526	-156.841114822	-15.3026570036	79.2386120698	0.925831309101	0.583158187554	-0.376689426873	-1.0	-0.0975678923278	0.505215817673							0	0	0	0	0	0	0	21
lines	lines	80	100	10	-1	4	0	100	1511052124.47	69043	G1_9	1	search	9	1	37.6137063252	29.4715253947	24.6106950191	-213.234029569	10.4346601104	-89.2156364264	0.176396358505	0.138212111145	0.115416357647	-1.0	0.0489352479596	-0.418393052023							0	0	0	0	0	0	0	23
lines	lines	80	100	10	-1	4	0	100	1511052124.47	90299	G1_10	1	search	10	1	-28.5760307791	-160.991311059	-6.50989985846	115.943986936	21.7968216567	-120.205872045	-0.177500453851	-1.0	-0.0404363429035	0.720187854693	0.135391292321	-0.74666061947							0	0	0	0	0	0	0	22
lines	lines	80	100	10	-1	4	0	100	1511052124.47	16353	G1_11	1	search	11	1	-41.466881198	67.7990733612	180.688946729	-101.349965047	-39.4145191899	95.1141726597	-0.229493181231	0.375225350463	1.0	-0.560908494306	-0.218134644667	0.526397294254							0	0	0	0	0	0	0	20
lines	lines	80	100	10	-1	4	0	100	1511052124.47	8065	G1_12	1	search	12	1	82.1936920122	113.854385899	14.0388799443	192.019457317	48.6008972101	86.2674929486	0.428048767353	0.592931505434	0.0731117572172	1.0	0.253104023359	0.449264330574							0	0	0	0	0	0	0	10
