session	optimize	depth	controllers	survivors	episodes	noise	initial_value	variance	session_seed	game_seed	name	generation	type	game_num	repetition	landing_height	eroded_cells	row_trans	col_trans	pits	cuml_wells	landing_height_norm	eroded_cells_norm	row_trans_norm	col_trans_norm	pits_norm	cuml_wells_norm	landing_height_var	eroded_cells_var	row_trans_var	col_trans_var	pits_var	cuml_wells_var	lines	l1	l2	l3	l4	score	level	eps
2017-11-19_00-37-50	score	80	100	10	-1	4	0	100	1511051870.12	NIL	G0	0	base	0	0	0	0	0	0	0	0	0	0	0	0	0	0	100	100	100	100	100	100								
2017-11-19_00-37-50	score	80	100	10	-1	4	0	100	1511051870.12	19276	G1_1	1	search	1	1	-109.902461813	-55.9073476121	-173.143561676	97.1591895046	23.338795473	78.8692449589	-0.634747609145	-0.32289590829	-1.0	0.561148151071	0.134794474869	0.455513587657							0	0	0	0	0	0	0	13
2017-11-19_00-37-50	score	80	100	10	-1	4	0	100	1511051870.12	10503	G1_2	1	search	2	1	-52.9983768611	3.95619758216	29.2064885473	-78.2526640847	-71.5283386833	10.7966221376	-0.677272492649	0.0505567143104	0.373233153004	-1.0	-0.914069054644	0.137971304413							0	0	0	0	0	0	0	22
2017-11-19_00-37-50	score	80	100	10	-1	4	0	100	1511051870.12	96300	G1_3	1	search	3	1	99.1173324249	-219.38645097	175.534630945	-8.21638507597	31.5503789888	18.0508112735	0.451793317165	-1.0	0.800116097275	-0.0374516522768	0.143811884687	0.0822786056006							0	0	0	0	0	0	0	12
2017-11-19_00-37-50	score	80	100	10	-1	4	0	100	1511051870.12	10418	G1_4	1	search	4	1	147.845790658	132.249007254	32.3859750856	-21.6778892192	-196.096801911	140.887236579	0.753942895639	0.674406751998	0.165152999794	-0.110546877909	-1.0	0.718457594443							0	0	0	0	0	0	0	6
2017-11-19_00-37-50	score	80	100	10	-1	4	0	100	1511051870.12	51490	G1_5	1	search	5	1	-52.7216094014	27.8951240925	64.5061891667	-91.8917553503	193.39965693	-78.3693318438	-0.27260446186	0.144235644133	0.333538281249	-0.475139184882	1.0	-0.40521960115							0	0	0	0	0	0	0	15
2017-11-19_00-37-50	score	80	100	10	-1	4	0	100	1511051870.12	79549	G1_6	1	search	6	1	33.6064657657	-18.8929950955	-111.143999162	226.774842341	79.7886620077	-68.3036446591	0.148193095049	-0.0833116888119	-0.490107271223	1.0	0.351840888451	-0.301195864382							0	0	0	0	0	0	0	19
2017-11-19_00-37-50	score	80	100	10	-1	4	0	100	1511051870.12	62044	G1_7	1	search	7	1	-41.4940711874	18.9808628477	-38.6801008216	65.0854123167	-5.15427839634	-142.823836928	-0.290526232034	0.132897023746	-0.270823846029	0.455704129762	-0.0360883624693	-1.0							0	0	0	0	0	0	0	28
2017-11-19_00-37-50	score	80	100	10	-1	4	0	100	1511051870.12	47672	G1_8	1	search	8	1	108.418039799	-184.224498556	-18.6887809068	-70.944455235	-93.3573962324	88.4663959861	0.588510435085	-1.0	-0.101445687481	-0.385097833301	-0.506758856525	0.480209726064							0	0	0	0	0	0	0	7
2017-11-19_00-37-50	score	80	100	10	-1	4	0	100	1511051870.12	73148	G1_9	1	search	9	1	-5.68098857323	81.2861776255	43.820715894	-32.2735901462	-80.2087268094	-178.819197923	-0.0317694556246	0.454571872427	0.245055991767	-0.180481684971	-0.4485465081	-1.0							0	0	0	0	0	0	0	20
